Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
36,36,pourrais,could
37,37,affaire,case
38,38,donner,give
39,39,type,type
40,40,leurs,their
41,41,donné,given
42,42,train,train
43,43,corps,body
44,44,endroit,place
45,45,yeux,eyes
46,46,façon,way
47,47,écoute,listen
48,48,dont,whose
49,49,trouve,find
51,51,perdu,lost
52,52,main,hand
53,53,première,first
54,54,pouvoir,power
55,55,vieux,old
56,56,sois,be
57,57,tiens,here
58,58,matin,morning
59,59,tellement,so much
60,60,enfant,child
61,61,point,point
62,62,venu,came
63,63,suite,after
64,64,pardon,sorry
65,65,venez,come
66,66,devant,in front of
67,67,vers,towards
68,68,minutes,minutes
69,70,chambre,bedroom
70,71,mis,placed
71,72,belle,beautiful
72,73,droit,law
73,74,aimerais,would like to
74,75,aujourd'hui,today
75,76,mari,husband
76,77,cause,cause
77,78,enfin,finally
78,79,espère,hope
79,80,eau,water
80,81,attendez,Wait
81,82,parti,left
82,83,nouvelle,new
83,84,boulot,job
84,85,arrêter,Stop
85,86,dirait,would say
86,87,terre,Earth
87,88,compte,account
88,89,donne,given
89,90,loin,far
90,91,fin,end
91,92,croire,believe
92,93,chérie,sweetheart
93,94,gros,large
94,95,plutôt,rather
95,96,aura,will have
96,97,filles,girls
97,98,jouer,to play
98,99,bureau,office
